year,week,avgAdultFemaleLice,avgMobileLice,avgStationaryLice,seaTemperature,hasTreatment,aboveThreshold,lon_api,lat_api
2025,14,0.48,0.78,0.01,6.6,True,False,7.676817,63.03515
2025,15,0.2,0.34,0.04,6.77,True,False,7.676817,63.03515
2025,16,0.11,0.18,0.0,7.2,False,False,7.676817,63.03515
2025,17,0.06,0.16,0.0,7.97,False,False,7.676817,63.03515
2025,18,0.05,0.17,0.0,7.67,False,False,7.676817,63.03515
2025,19,0.05,0.21,0.0,7.83,False,False,7.676817,63.03515
2025,20,0.05,0.39,0.0,8.79,False,False,7.676817,63.03515
2025,21,0.21,0.74,0.01,9.99,True,False,7.676817,63.03515
2025,22,0.04,0.13,0.03,9.04,True,False,7.676817,63.03515
2025,23,0.19,0.47,0.0,9.86,True,False,7.676817,63.03515
2025,24,0.06,0.27,0.0,10.71,True,False,7.676817,63.03515
2025,25,0.08,0.25,0.0,11.47,False,False,7.676817,63.03515
2025,26,0.11,0.39,0.0,11.7,False,False,7.676817,63.03515
2025,27,0.23,1.0,0.0,12.14,False,False,7.676817,63.03515
2025,28,0.14,0.19,0.01,12.59,True,False,7.676817,63.03515
2025,29,0.18,0.41,0.0,13.26,False,False,7.676817,63.03515
2025,30,0.31,1.09,0.0,15.74,False,False,7.676817,63.03515
2025,31,0.71,3.07,0.0,17.19,False,True,7.676817,63.03515
2025,32,3.43,7.4,0.0,15.97,True,True,7.676817,63.03515
2025,33,2.11,2.69,0.04,15.17,True,True,7.676817,63.03515
2025,34,0.37,0.15,0.0,14.51,True,False,7.676817,63.03515
2025,35,0.31,2.58,0.0,14.47,False,False,7.676817,63.03515
2025,36,0.31,0.13,0.0,15.03,True,False,7.676817,63.03515
2025,37,0.39,2.6,0.0,14.7,False,False,7.676817,63.03515
2025,38,0.15,0.05,0.0,14.9,True,False,7.676817,63.03515
2025,39,0.3,2.32,0.0,14.6,False,False,7.676817,63.03515
2025,40,0.37,0.05,0.0,13.97,True,False,7.676817,63.03515
2025,41,0.14,1.2,0.0,13.5,False,False,7.676817,63.03515
2025,42,0.2,1.71,0.0,13.0,False,False,7.676817,63.03515
2025,43,0.13,0.03,0.0,12.26,True,False,7.676817,63.03515
2025,44,0.11,0.36,0.0,12.8,False,False,7.676817,63.03515
2025,45,0.08,0.38,0.0,11.4,False,False,7.676817,63.03515
2025,46,0.1,0.52,0.0,11.5,False,False,7.676817,63.03515
2025,47,0.31,0.73,0.0,10.9,False,False,7.676817,63.03515
2025,48,0.35,0.81,0.0,9.5,False,False,7.676817,63.03515
2025,49,0.03,0.0,0.0,9.66,True,False,7.676817,63.03515
2025,50,0.24,0.42,0.0,9.35,False,False,7.676817,63.03515
2025,51,0.05,0.03,0.03,9.1,False,False,7.676817,63.03515
2025,52,0.13,0.15,0.0,8.3,False,False,7.676817,63.03515
2026,1,0.03,0.25,0.03,9.0,False,False,7.676817,63.03515
2026,2,0.1,0.95,0.0,7.3,False,False,7.676817,63.03515
2026,3,0.22,1.52,0.0,7.8,False,False,7.676817,63.03515
2026,4,0.42,0.69,0.0,7.55,False,False,7.676817,63.03515
2026,5,,,,7.13,False,False,7.676817,63.03515
2026,6,,,,7.16,False,False,7.676817,63.03515
2026,7,,,,,False,False,7.676817,63.03515
2026,8,,,,,False,False,7.676817,63.03515
2026,9,,,,,False,False,7.676817,63.03515
2026,10,,,,,False,False,7.676817,63.03515
2026,11,,,,,False,False,7.676817,63.03515
2026,12,,,,,False,False,7.676817,63.03515
2026,13,,,,,False,False,7.676817,63.03515
