time_s,net_1_conc_rel,net_1_risk_conc_rel,net_1_inside_count,net_1_mean_infectivity,net_2_conc_rel,net_2_risk_conc_rel,net_2_inside_count,net_2_mean_infectivity,net_3_conc_rel,net_3_risk_conc_rel,net_3_inside_count,net_3_mean_infectivity
0.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
10.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
20.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
30.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
40.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
50.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
60.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
70.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
80.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
90.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
100.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
110.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
120.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
130.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
140.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
150.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
160.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
170.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
180.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
190.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
200.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
210.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
220.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
230.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
240.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
250.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
260.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
270.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
280.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
290.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
300.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
310.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
320.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
330.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
340.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
350.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
360.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
370.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
380.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
390.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
400.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
410.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
420.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
430.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
440.0,0.0,0.0,0,,0.0,0.0,0,,0.0,0.0,0,
450.0,0.02906080177430665,0.02906080177430665,1,0.9992412879676393,0.0,0.0,0,,0.0,0.0,0,
460.0,0.029060322275033253,0.029060322275033253,1,0.9992248006224088,0.0,0.0,0,,0.0,0.0,0,
470.0,0.02905984278367153,0.02905984278367153,1,0.9992083135492172,0.0,0.0,0,,0.0,0.0,0,
480.0,0.058120165074528,0.058120165074528,2,0.9992165573578498,0.0,0.0,0,,0.0,0.0,0,
490.0,0.058119206099715826,0.058119206099715826,2,0.9992000704206709,0.0,0.0,0,,0.0,0.0,0,
500.0,0.11624033019652512,0.11624033019652512,4,0.9992165577659003,0.0,0.0,0,,0.0,0.0,0,
510.0,0.1452972960715826,0.1452972960715826,5,0.9991951247067584,0.0,0.0,0,,0.0,0.0,0,
520.0,0.17435282358331464,0.17435282358331464,6,0.9991725930988048,0.0,0.0,0,,0.0,0.0,0,
530.0,0.11623553533828672,0.11623553533828672,4,0.999175340558965,0.0,0.0,0,,0.0,0.0,0,
540.0,0.14529489874926796,0.14529489874926796,5,0.9991786385584689,0.0,0.0,0,,0.0,0.0,0,
550.0,0.14529250140321676,0.14529250140321676,5,0.9991621522469452,0.0,0.0,0,,0.0,0.0,0,
560.0,0.1162336175310661,0.1162336175310661,4,0.9991588548459064,0.0,0.0,0,,0.0,0.0,0,
570.0,0.11623505602097227,0.11623505602097227,4,0.9991712202867993,0.0,0.0,0,,0.0,0.0,0,
580.0,0.17435282375735958,0.17435282375735958,6,0.9991725940962128,0.0,0.0,0,,0.0,0.0,0,
590.0,0.20341122824099306,0.20341122824099306,7,0.999170631841635,0.0,0.0,0,,0.0,0.0,0,
600.0,0.2034102693611108,0.2034102693611108,7,0.9991659217544578,0.0,0.0,0,,0.0,0.0,0,
610.0,0.17435761836243932,0.17435761836243932,6,0.9992000707833807,0.05810722023965374,0.05810722023965374,2,0.9989940064872176,0.0,0.0,0,
620.0,0.11623793273971586,0.11623793273971586,4,0.9991959489244053,0.058106261478429594,0.058106261478429594,2,0.9989775232220979,0.0,0.0,0,
630.0,0.11623601482964845,0.11623601482964845,4,0.9991794623272628,0.08715795409558251,0.08715795409558251,3,0.9989610401836221,0.0,0.0,0,
640.0,0.17435665954585772,0.17435665954585772,6,0.9991945760444344,0.08715651600120425,0.08715651600120425,3,0.9989445574624418,0.0,0.0,0,
650.0,0.14529681668307037,0.14529681668307037,5,0.9991918279994062,0.14526421569265782,0.14526421569265782,5,0.9989676342149272,0.0,0.0,0,
660.0,0.14529729608740605,0.14529729608740605,5,0.999195124815575,0.17431255280371588,0.17431255280371588,6,0.9989418112941234,0.0,0.0,0,
670.0,0.14529489870179912,0.14529489870179912,5,0.9991786382320302,0.1743096766703228,0.1743096766703228,6,0.9989253288902175,0.0,0.0,0,
680.0,0.14529489865433104,0.14529489865433104,5,0.999178637905597,0.23241402082403925,0.23241402082403925,8,0.9989301366905059,0.0,0.0,0,
690.0,0.17435282358331464,0.17435282358331464,6,0.9991725930988048,0.26146715155138894,0.26146715155138894,9,0.9989354018153525,0.0,0.0,0,
700.0,0.14529298078382016,0.14529298078382016,5,0.9991654488999092,0.29051644749485234,0.29051644749485234,10,0.9989264282006045,0.0,0.0,0,
710.0,0.14529058346941512,0.14529058346941512,5,0.9991489628060132,0.29051500962193294,0.29051500962193294,10,0.9989214841457255,0.0,0.0,0,
720.0,0.08717281583587135,0.08717281583587135,3,0.9991313780454033,0.2905102161638203,0.2905102161638203,10,0.9989050020772148,0.0,0.0,0,
730.0,0.17435186484583765,0.17435186484583765,6,0.9991670988131873,0.435772994023096,0.435772994023096,15,0.9989225835104978,0.0,0.0,0,
740.0,0.14529250149814585,0.14529250149814585,5,0.9991621528997632,0.377665294394916,0.377665294394916,13,0.9989103273958297,0.0,0.0,0,
750.0,0.145293939711164,0.145293939711164,5,0.9991720433483458,0.34860880835128055,0.34860880835128055,12,0.9988951135367993,0.0,0.0,0,
760.0,0.1452944191629693,0.1452944191629693,5,0.9991753404909586,0.3195580745111706,0.3195580745111706,11,0.9988951141280983,0.0,0.0,0,
770.0,0.17435234409986447,0.17435234409986447,6,0.9991698452986119,0.29050110920555905,0.29050110920555905,10,0.9988736882519008,0.0,0.0,0,
780.0,0.1743494673099204,0.1743494673099204,6,0.9991533591321756,0.2614494164697611,0.2614494164697611,9,0.9988676449258652,0.0,0.0,0,
790.0,0.17434946734947548,0.17434946734947548,6,0.9991533593588561,0.31955711615328913,0.31955711615328913,11,0.9988921184315984,0.0,0.0,0,
800.0,0.20340787179355233,0.20340787179355233,7,0.9991541447295954,0.2614513341978171,0.2614513341978171,9,0.9988749716069982,0.0,0.0,0,
810.0,0.17434802902570112,0.17434802902570112,6,0.9991451166836541,0.2614494169521717,0.2614494169521717,9,0.9988676467689154,0.0,0.0,0,
820.0,0.17434515230695521,0.17434515230695521,6,0.9991286309252367,0.2323934104314999,0.2323934104314999,8,0.9988415519219815,0.0,0.0,0,
830.0,0.23246579726050096,0.23246579726050096,8,0.9991526750837092,0.1742991326062348,0.1742991326062348,6,0.9988649034859133,0.0,0.0,0,
840.0,0.17434755011185302,0.17434755011185302,6,0.9991423721477087,0.2033584935337116,0.2033584935337116,7,0.9989115951539845,0.0,0.0,0,
850.0,0.203407872094178,0.203407872094178,7,0.9991541462062904,0.2614623583779942,0.2614623583779942,9,0.9989170894936605,0.0,0.0,0,
860.0,0.1452929810211543,0.1452929810211543,5,0.9991654505320327,0.23241162461696765,0.23241162461696765,8,0.99891983764121,0.0,0.0,0,
870.0,0.17435522097683234,0.17435522097683234,6,0.99918633196376,0.23240874861011265,0.23240874861011265,8,0.998907476382149,0.0,0.0,0,
880.0,0.17435330308258648,0.17435330308258648,6,0.9991753409896674,0.1743087180672791,0.1743087180672791,6,0.9989198353750037,0.0,0.0,0,
890.0,0.17435042627681932,0.17435042627681932,6,0.9991588547325532,0.20334555328614964,0.20334555328614964,7,0.998848031724156,0.0,0.0,0,
900.0,0.20340739230219063,0.20340739230219063,7,0.9991517894334251,0.17430392472780726,0.17430392472780726,6,0.9988923659407195,0.0,0.0,0,
910.0,0.23246531738939816,0.23246531738939816,8,0.999150612567409,0.20335465885264817,0.20335465885264817,7,0.9988927589238799,0.0,0.0,0,
920.0,0.20340643367546646,0.20340643367546646,7,0.999147080589779,0.2033513035284586,0.2033513035284586,7,0.9988762773293312,0.0,0.0,0,
930.0,0.20340307749699937,0.20340307749699937,7,0.9991305947989574,0.20334794825963143,0.20334794825963143,7,0.9988597960067265,0.0,0.0,0,
940.0,0.1452881864239815,0.1452881864239815,5,0.9991324785618068,0.1742991313250655,0.1742991313250655,6,0.9988648961438512,0.0,0.0,0,
950.0,0.11623697385192922,0.11623697385192922,4,0.9991877062038983,0.17430200736354867,0.17430200736354867,6,0.9988813780038522,0.0,0.0,0,
960.0,0.14529489874135484,0.14529489874135484,5,0.9991786385040511,0.203354179266403,0.203354179266403,7,0.9988904031616352,0.0,0.0,0,
970.0,0.1743499468408372,0.1743499468408372,6,0.9991561072043881,0.20336280783268487,0.20336280783268487,7,0.9989327873018732,0.0,0.0,0,
