time_s,a-not_1_conc_rel,a-not_1_risk_conc_rel,a-not_1_inside_count,a-not_1_mean_infectivity,a-not_2_conc_rel,a-not_2_risk_conc_rel,a-not_2_inside_count,a-not_2_mean_infectivity,b-not_1_conc_rel,b-not_1_risk_conc_rel,b-not_1_inside_count,b-not_1_mean_infectivity
0.0,0.005067556944052386,0.005067556944052386,3,0.9950124791926823,0.0,0.0,0,,0.0,0.0,0,
10.0,0.010109839342404043,0.010109839342404043,6,0.9925311564709252,0.0,0.0,0,,0.0,0.0,0,
20.0,0.015126973252377551,0.015126973252377551,9,0.9900580841816377,0.0,0.0,0,,0.0,0.0,0,
30.0,0.020119084102581966,0.020119084102581966,12,0.9875932314629172,0.0,0.0,0,,0.0,0.0,0,
